Date,Open,High,Low,Close,Volume
2015/12/23 下午 4:00:00,204.69,206.07,204.58,206.02,110987228
2015/12/24 下午 4:00:00,205.72,206.33,205.42,205.68,48542150
2015/12/28 下午 4:00:00,204.86,205.26,203.94,205.21,65899939
2015/12/29 下午 4:00:00,206.51,207.79,206.47,207.4,92640672
2015/12/30 下午 4:00:00,207.11,207.21,205.76,205.93,63317679
2015/12/31 下午 4:00:00,205.13,205.89,203.87,203.87,114877859
2016/1/4 下午 4:00:00,200.49,201.03,198.59,201.02,222353534
2016/1/5 下午 4:00:00,201.4,201.9,200.05,201.36,110845849
2016/1/6 下午 4:00:00,198.34,200.06,197.6,198.82,152112604
2016/1/7 下午 4:00:00,195.33,197.44,193.59,194.05,213436073
2016/1/8 下午 4:00:00,195.19,195.85,191.58,191.92,209817228
2016/1/11 下午 4:00:00,193.01,193.41,189.82,192.11,187941323
2016/1/12 下午 4:00:00,193.82,194.55,191.14,193.66,172330490
2016/1/13 下午 4:00:00,194.45,194.86,188.38,188.83,221168886
2016/1/14 下午 4:00:00,189.55,193.26,187.66,191.93,240795609
2016/1/15 下午 4:00:00,186.77,188.76,185.52,187.81,324846447
2016/1/19 下午 4:00:00,189.96,190.11,186.2,188.06,195244373
2016/1/20 下午 4:00:00,185.03,187.5,181.02,185.65,286547839
2016/1/21 下午 4:00:00,186.21,188.87,184.64,186.69,195772941
2016/1/22 下午 4:00:00,189.78,190.76,188.88,190.52,168319598
2016/1/25 下午 4:00:00,189.92,190.15,187.41,187.64,130371686
2016/1/26 下午 4:00:00,188.42,190.53,188.02,190.2,141036757
2016/1/27 下午 4:00:00,189.58,191.56,187.06,188.13,185681707
2016/1/28 下午 4:00:00,189.96,190.2,187.16,189.11,143798780
2016/1/29 下午 4:00:00,190.02,193.88,189.88,193.72,210529336
2016/2/1 下午 4:00:00,192.53,194.58,191.84,193.65,136061564
2016/2/2 下午 4:00:00,191.96,191.97,189.54,190.16,182564890
2016/2/3 下午 4:00:00,191.41,191.78,187.1,191.3,205054934
2016/2/4 下午 4:00:00,190.71,192.75,189.96,191.6,139531794
2016/2/5 下午 4:00:00,190.99,191.67,187.2,187.95,180788308
2016/2/8 下午 4:00:00,185.77,186.12,182.8,185.42,191526694
2016/2/9 下午 4:00:00,183.36,186.94,183.2,185.43,184513136
